"Season","Team","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"2009","Mariners","13074.0","12","3","0","-6","66","80","2297","1945",".847","526","51","-7.1","","5","-0.2","6.1","92.3","-12.2","86.0","11.8","96.9"
"2013","Royals","13035.0","2","5","15","15","50","95","2144","1805",".842","548","69","2.7","","50","17.4","4.3","55.8","2.4","79.9","14.3","87.6"
"2003","Mariners","12969.0","2","6","-1","0","31","41","2669","2053",".769","330","","","","","-0.4","4.5","60.5","11.5","76.1","10.8","83.1"
"2007","Royals","12936.0","-1","7","-2","0","38","43","2495","2105",".844","385","","","","","9.3","3.1","63.2","-3.3","72.3","11.4","75.3"
"2014","Royals","13056.0","4","-4","5","6","25","41","2286","1880",".822","541","81","1.7","","42","10.1","-5.0","54.5","1.5","61.1","9.0","74.8"
"2011","Diamondbacks","12990.0","5","1","-6","5","37","47","2160","1812",".839","554","54","0.9","","21","-4.0","-0.8","58.6","6.9","60.6","7.2","73.6"
"2012","Braves","13008.0","3","-1","2","11","48","68","2178","1821",".836","531","78","2.3","","5","8.7","2.6","44.8","6.5","62.5","10.3","71.8"
"2008","Rays","13119.0","0","3","2","-2","9","15","2267","1897",".837","450","49","-2.5","","","5.4","3.4","65.9","-2.1","72.6","11.4","71.1"
"2016","Cubs","13137.0","2","-1","-4","-5","99","82","1947","1661",".853","467","","","","","1.0","-2.1","68.4","5.6","73.0","9.1","69.0"
"2008","Phillies","13047.0","-4","-4","18","2","63","76","2237","1839",".822","477","58","6.5","","","21.3","0.3","42.2","2.7","66.5","13.6","65.0"
"2004","Devil Rays","12753.0","1","0","11","-6","-9","6","2665","1996",".749","361","","","","","11.0","-0.8","58.5","-11.6","57.1","9.5","63.1"
"2012","Angels","12900.0","-3","-1","2","23","28","50","2242","1883",".840","471","66","3.4","","34","4.3","1.4","58.5","-4.0","60.2","8.7","62.5"
"2009","Reds","13125.0","1","-3","13","3","9","34","2264","1906",".842","479","66","4.9","","20","14.0","1.4","29.1","3.7","48.2","8.7","61.1"
"2002","Twins","13002.0","0","0","0","0","0","0","0","0","","0","","","","","9.5","-3.0","45.2","8.7","60.4","9.8","60.4"
"2008","Athletics","12915.0","3","12","1","3","20","57","2289","1940",".848","436","47","3.6","","","0.8","9.9","31.1","-5.4","36.4","6.1","60.0"
"2008","Astros","12828.0","-2","4","2","4","4","17","2286","1938",".848","441","47","5.8","","","4.3","2.2","29.2","16.3","52.0","7.9","59.8"
"2011","Rays","13041.0","1","4","6","12","38","67","2106","1779",".845","545","54","0.4","","40","1.2","5.0","44.5","6.6","57.3","9.3","59.8"
"2006","Royals","12837.0","3","9","-3","0","21","30","2556","2136",".836","357","","","","","5.6","2.1","44.5","-1.7","50.6","7.6","58.6"
"2008","Red Sox","13017.0","0","0","-7","8","12","17","2313","1935",".837","366","64","2.0","","","-4.3","0.5","56.3","4.7","57.1","7.2","58.1"
"2005","Braves","12993.0","0","2","24","3","30","57","2769","2078",".751","388","","","","","27.0","2.7","20.0","9.3","59.0","12.5","58.0"
"2004","Dodgers","13080.0","-1","1","-1","2","60","72","2479","1878",".758","365","","","","","0.8","6.4","36.9","14.8","58.9","8.9","57.9"
"2015","Royals","13068.0","3","-7","3","7","47","56","2209","1869",".846","503","","","","39","4.3","-7.8","46.0","8.5","50.9","6.1","56.9"
"2010","Giants","13149.0","4","1","7","0","0","20","2103","1775",".844","411","69","-2.7","","1","7.2","-1.4","36.4","14.3","56.5","9.4","56.8"
"2003","Giants","12936.0","-4","4","7","0","18","32","2442","1896",".776","342","","","","","8.6","5.4","36.1","9.3","59.4","10.1","56.4"
"2014","Orioles","13152.0","0","11","9","12","30","57","2196","1815",".827","546","66","1.6","","40","13.9","7.9","33.3","-0.2","54.8","10.9","55.4"
"2010","Padres","13107.0","0","-3","-5","8","63","73","2192","1832",".836","441","47","1.8","","14","-4.1","-1.2","36.4","14.4","45.4","5.1","55.3"
"2016","Giants","13143.0","2","0","-3","1","40","50","2080","1729",".831","545","","","","","-5.1","0.9","41.7","10.3","47.7","5.3","53.7"
"2003","Dodgers","13119.0","12","2","-3","0","39","68","2216","1653",".746","345","","","","","-4.2","3.6","35.4","1.8","36.6","4.7","52.6"
"2003","Devil Rays","12930.0","5","2","8","0","-1","18","2703","2025",".749","346","","","","","4.7","-3.5","44.1","-3.9","41.4","5.8","52.4"
"2014","Reds","13014.0","0","-1","4","11","44","69","2165","1805",".834","421","72","1.1","","34","5.6","-0.9","31.1","10.5","46.3","7.1","52.4"
"2013","Diamondbacks","13455.0","-1","-2","11","-5","69","76","2190","1833",".837","559","68","-5.4","","44","10.3","-1.4","25.8","16.3","51.1","8.1","49.7"
"2007","Cubs","13020.0","-10","2","12","8","18","16","2267","1906",".841","326","","","","","14.6","5.3","44.4","2.9","67.1","13.6","49.1"
"2005","Phillies","12915.0","-3","0","19","2","89","97","2488","1848",".743","395","","","","","10.9","-1.1","43.3","1.6","54.7","10.0","48.7"
"2013","Orioles","13077.0","3","7","5","6","13","24","2138","1807",".845","499","47","2.8","","45","7.2","4.1","18.5","10.0","39.9","7.4","48.6"
"2006","Tigers","13032.0","4","10","8","-2","18","54","2478","2081",".840","348","","","","","5.9","3.0","28.6","-2.5","35.0","6.3","48.0"
"2009","Giants","13014.0","1","-3","5","-11","35","17","2080","1761",".847","440","55","-6.8","","-26","-1.6","-6.9","65.7","-0.8","56.3","7.0","47.5"
"2004","Mariners","13134.0","0","2","6","9","5","28","2610","1959",".751","324","","","","","8.7","-0.4","37.4","-2.5","43.2","7.2","47.2"
"2014","Red Sox","13191.0","2","-8","10","5","33","35","2247","1838",".818","514","70","-2.5","","-2","9.4","-4.1","34.4","8.8","48.5","7.6","47.0"
"2016","Royals","12960.0","4","-3","8","5","7","29","2172","1760",".810","510","","","","","3.7","-1.1","22.5","10.4","35.5","4.5","46.5"
"2003","Astros","13050.0","4","-2","24","0","35","71","2400","1808",".753","361","","","","","20.7","-2.5","19.8","-0.7","37.2","9.3","46.2"
"2006","Mariners","13020.0","1","4","7","-1","50","54","2377","1979",".833","395","","","","","12.6","5.5","23.9","0.1","42.0","8.3","46.0"
"2002","Cardinals","13017.0","0","0","0","0","0","0","0","0","","0","","","","","11.5","8.4","19.6","6.2","45.7","8.9","45.7"
"2016","Angels","12792.0","3","-1","4","13","10","31","2129","1690",".794","562","","","","","5.9","1.2","37.1","-7.7","36.5","6.7","45.5"
"2003","Angels","12882.0","3","2","1","0","16","22","2599","1943",".748","310","","","","","7.7","0.3","33.0","-1.7","39.3","6.6","45.3"
"2009","Rays","12846.0","-2","-5","11","7","36","41","2195","1821",".830","564","48","-1.4","","44","8.5","-6.2","54.3","-7.2","49.3","8.0","44.9"
"2011","Reds","13209.0","-2","-4","1","-5","52","55","2295","1955",".852","479","66","2.0","","32","3.0","-3.9","29.0","10.4","38.5","5.2","44.5"
"2010","Reds","13077.0","0","0","-1","13","21","38","2307","1940",".841","423","69","5.1","","44","-2.6","2.0","19.1","19.4","37.9","4.7","43.9"
"2013","Cubs","13032.0","5","0","-2","-2","20","21","2117","1800",".850","517","69","1.1","","-13","-0.3","1.7","38.2","-2.3","37.3","5.6","43.3"
"2011","Angels","13185.0","-1","6","7","13","-2","21","2280","1950",".855","518","76","3.0","","17","3.8","6.7","23.6","7.8","41.8","6.6","42.9"
"2005","Nationals","13122.0","4","2","4","-10","-8","-6","2701","2017",".747","349","","","","","7.2","4.3","22.0","4.2","37.7","6.6","42.7"
"2005","Twins","13179.0","3","10","2","-1","19","45","2729","2068",".758","380","","","","","-0.2","4.0","28.2","-0.1","31.9","4.6","41.9"
"2016","Indians","13005.0","3","-5","8","-3","7","17","2063","1711",".829","534","","","","","4.5","-1.1","35.1","-2.9","35.6","5.5","41.6"
"2004","Blue Jays","12789.0","6","-3","11","-3","25","37","2691","1977",".735","344","","","","","8.3","0.1","17.9","10.0","36.3","6.2","41.3"
"2007","Braves","13107.0","-2","2","16","4","44","59","2364","1940",".821","460","","","","","21.9","-1.4","27.2","-2.3","45.5","10.2","40.5"
"2010","Diamondbacks","12888.0","-4","3","2","-4","15","7","2327","1932",".830","437","70","-7.0","","3","-0.6","3.5","52.1","-1.3","53.7","7.2","39.7"
"2004","White Sox","12891.0","1","2","7","2","16","32","2668","1966",".737","318","","","","","4.8","-0.4","23.0","7.0","34.4","5.7","39.4"
"2007","Tigers","13026.0","1","4","1","-3","33","42","2505","2083",".832","382","","","","","5.0","-2.1","28.2","1.5","32.6","4.8","38.6"
