"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"1927","Yankees","1725","5354","6222",".307",".181","49.3","6.0","76.2"
"1936","Yankees","1650","5591","6391",".300",".184","40.4","5.6","68.7"
"1930","Yankees","1796","5447","6272",".309",".179","38.6","6.3","-1.1"
"1950","Red Sox","1718","5516","6321",".302",".162","32.6","4.5","32.4"
"1931","Yankees","1751","5608","6473",".297",".160","45.0","6.1","18.8"
"1921","Yankees","1604","5250","6056",".300",".164","36.4","5.9","61.9"
"1930","Cubs","1769","5581","6354",".309",".172","30.2","5.1","37.3"
"1929","Phillies","1831","5481","6213",".309",".158","19.7","4.3","-7.3"
"1939","Yankees","1550","5300","6129",".287",".164","44.7","5.0","129.7"
"1921","Tigers","1696","5454","6291",".316",".118","26.3","5.5","-31.3"
"1953","Dodgers","1891","5371","6136",".285",".189","40.5","5.4","80.8"
"1921","Indians","1758","5376","6264",".308",".123","28.6","5.1","10.8"
"1922","Browns","1619","5425","6130",".310",".143","33.0","6.2","72.2"
"1937","Yankees","1632","5486","6293",".283",".173","36.6","5.1","63.6"
"1949","Red Sox","1625","5316","6245",".282",".138","31.5","3.9","61.9"
"1932","Yankees","1709","5476","6343",".286",".169","38.4","5.3","20.0"
"1926","Yankees","1733","5208","6090",".289",".149","32.3","5.2","15.9"
"1923","Indians","1736","5277","6150",".301",".119","29.1","5.0","15.6"
"1929","Cubs","1712","5471","6252",".303",".150","32.8","5.0","74.9"
"1937","Tigers","1694","5516","6264",".292",".160","29.4","5.3","44.8"
"1930","Cardinals","1750","5511","6203",".314",".157","24.6","5.7","32.7"
"1938","Red Sox","1656","5229","6003",".299",".135","24.8","4.5","39.9"
"1936","Indians","1740","5646","6251",".304",".158","22.2","5.2","14.5"
"1933","Yankees","1707","5271","6066",".284",".156","35.4","5.3","-5.1"
"1930","Giants","1756","5551","6159",".319",".155","30.7","5.4","79.2"
"1925","Pirates","1676","5372","6036",".307",".141","32.0","6.7","60.1"
"1936","Tigers","1651","5464","6232",".300",".131","25.6","4.8","45.0"
"1920","Indians","1672","5203","6067",".303",".115","31.8","5.3","44.3"
"1928","Yankees","1774","5337","6067",".295",".154","35.0","5.0","22.1"
"1938","Yankees","1614","5410","6259",".274",".172","34.2","5.7","63.1"
"1932","Athletics","1612","5534","6299",".290",".167","36.7","4.5","64.4"
"1941","Red Sox","1727","5359","6179",".283",".147","28.7","4.6","20.3"
"1933","Athletics","1673","5329","6050",".285",".156","26.1","4.2","-27.7"
"1929","Yankees","1764","5367","6091",".296",".156","35.2","4.8","58.5"
"1929","Athletics","1657","5197","5978",".296",".155","30.8","5.5","48.1"
