"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1927","Yankees","1725","6222","158","976","908","90","10.3 %","9.8 %",".181",".324",".307",".384",".488",".400","126","-14.2","203.7","76.2","49.3"
"1976","Reds","2135","6538","141","857","802","210","10.4 %","13.8 %",".144",".309",".280",".357",".424",".357","120","19.0","166.6","39.2","45.9"
"1931","Yankees","1751","6473","155","1067","990","139","11.6 %","8.6 %",".160",".309",".297",".383",".457",".387","124","-3.4","206.4","18.8","45.0"
"1939","Yankees","1550","6129","166","967","904","72","11.4 %","8.9 %",".164",".295",".287",".374",".451",".380","113","-4.6","104.6","129.7","44.7"
"1969","Orioles","1981","6328","175","779","722","82","10.0 %","12.7 %",".148",".281",".265",".343",".414",".341","112","1.7","86.9","150.9","44.6"
"2001","Mariners","2043","6474","169","927","881","174","9.5 %","15.3 %",".157",".320",".288",".360",".445",".347","116","16.2","143.0","84.6","44.4"
"1975","Reds","2148","6419","124","840","779","168","10.8 %","14.3 %",".130",".303",".271",".353",".401",".345","111","20.8","103.6","99.1","43.2"
"1948","Indians","1889","6197","155","840","801","54","10.4 %","9.2 %",".150",".292",".282",".361",".432",".369","114","-10.4","98.7","112.8","42.1"
"1973","Orioles","1707","6335","119","754","692","146","10.2 %","11.9 %",".123",".287",".266",".345",".389",".334","111","7.3","85.1","98.2","41.2"
"1953","Dodgers","1891","6136","208","955","887","90","10.7 %","11.1 %",".189",".295",".285",".366",".474",".379","115","3.9","127.6","80.8","40.5"
"1936","Yankees","1650","6391","182","1065","997","77","11.0 %","9.3 %",".184",".310",".300",".381",".483",".394","113","-6.2","124.6","68.7","40.4"
"1942","Yankees","1591","6004","108","801","744","69","9.8 %","9.3 %",".125",".285",".270",".346",".394",".353","109","-1.7","63.6","104.3","39.5"
"1971","Orioles","1829","6143","158","742","702","66","10.9 %","13.7 %",".138",".282",".261",".347",".398",".339","112","0.5","80.3","92.9","39.3"
"2016","Cubs","2194","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","15.9","61.6","115.5","38.7"
"1974","Reds","2163","6373","135","776","714","146","10.9 %","14.7 %",".135",".289",".260",".343",".394",".336","108","11.8","71.5","90.2","38.6"
"1930","Yankees","1796","6272","152","1062","986","91","10.3 %","9.1 %",".179",".324",".309",".384",".488",".388","124","-11.9","204.3","-1.1","38.6"
"1977","Phillies","2164","6291","186","847","795","135","9.1 %","12.8 %",".169",".294",".279",".347",".448",".347","110","4.1","77.6","95.8","38.5"
"1932","Yankees","1709","6343","160","1001","954","77","12.0 %","8.3 %",".169",".293",".286",".376",".454",".377","119","-14.9","150.4","20.0","38.4"
