"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1916","Robins","94","60","9","248","156","1427.1","467","4.00","2.35","0.15",".253","72.5 %","","","2.12","2.51","","17.4"
"1918","Senators","72","56","8","204","130","1228.0","408","3.70","2.89","0.07",".252","72.5 %","","","2.14","2.55","","14.9"
"1917","White Sox","100","54","21","268","156","1424.1","462","3.27","2.61","0.06",".259","73.2 %","","","2.16","2.57","","17.2"
"1918","Cubs","84","45","8","183","131","1197.0","393","3.55","2.23","0.10",".257","72.2 %","","","2.18","2.38","","18.3"
"1916","Braves","89","63","11","240","158","1415.2","453","4.09","2.07","0.15",".258","72.5 %","","","2.19","2.38","","16.2"
"1917","Red Sox","90","62","7","208","157","1421.1","453","3.22","2.62","0.08",".252","73.5 %","","","2.20","2.63","","13.8"
"1919","Cubs","75","65","5","219","140","1265.0","407","3.52","2.09","0.10",".260","72.9 %","","","2.21","2.61","","19.1"
"1919","Reds","96","44","9","214","140","1274.0","401","2.88","2.11","0.15",".251","73.3 %","","","2.23","2.81","","12.5"
"1917","Giants","98","56","14","255","158","1426.2","457","3.48","2.06","0.18",".249","72.9 %","","","2.27","2.50","","12.3"
"1918","Red Sox","75","51","2","154","126","1120.0","381","3.15","3.05","0.07",".246","72.3 %","","","2.31","2.73","","10.0"
"1916","Phillies","91","62","9","232","154","1382.2","489","3.91","1.92","0.18",".263","70.8 %","","","2.36","2.45","","19.0"
"1916","White Sox","89","65","15","295","155","1412.1","498","4.10","2.58","0.09",".267","70.1 %","","","2.36","2.45","","19.7"
"1967","White Sox","89","73","39","454","162","1490.1","491","5.60","2.81","0.53",".245","76.9 %","","","2.45","3.11","","16.5"
"1917","Phillies","87","65","5","219","154","1389.1","500","3.99","2.11","0.16",".268","70.6 %","","","2.46","2.39","","20.5"
"1916","Red Sox","91","63","16","259","156","1410.2","480","3.73","2.95","0.06",".267","72.7 %","","","2.48","2.64","","14.1"
"1918","Pirates","65","60","7","178","126","1140.1","411","2.90","2.36","0.10",".255","70.2 %","","","2.48","2.60","","13.9"
"1968","Cardinals","97","65","32","358","162","1479.1","472","5.91","2.28","0.50",".264","77.3 %","","","2.49","2.61","","19.8"
"1917","Indians","88","66","22","285","156","1412.2","542","2.87","2.79","0.11",".266","69.8 %","","","2.52","2.78","","16.7"
"1972","Orioles","80","74","21","321","154","1371.2","430","5.17","2.59","0.56",".245","77.9 %","","","2.54","2.95","","17.0"
"1942","Cardinals","106","48","15","305","156","1410.1","480","4.15","3.02","0.31",".248","74.5 %","","","2.55","2.99","","22.9"
"1917","Tigers","78","75","15","266","154","1396.1","577","3.33","3.25","0.08",".264","68.0 %","","","2.56","2.84","","12.7"
"1943","Cardinals","105","49","15","261","157","1427.0","473","4.03","3.01","0.21",".260","74.8 %","","","2.57","2.86","","23.6"
"1972","Athletics","93","62","43","391","155","1417.2","457","5.47","2.65","0.61",".248","78.1 %","","","2.58","2.99","","14.2"
"1916","Browns","79","75","13","299","158","1443.2","545","3.15","2.98","0.09",".271","70.7 %","","","2.58","2.82","","11.6"
"1916","Giants","86","66","12","258","155","1397.1","503","4.11","2.00","0.26",".265","71.4 %","","","2.60","2.53","","12.1"
"1917","Cubs","74","80","9","278","157","1404.0","567","4.19","2.40","0.22",".274","68.7 %","","","2.62","2.51","","16.6"
"1920","Robins","93","61","10","248","155","1427.1","530","3.49","2.06","0.16",".276","70.8 %","","","2.62","2.94","","20.3"
"1966","Dodgers","95","67","35","376","162","1458.0","490","6.69","2.20","0.52",".274","76.0 %","","","2.62","2.60","","25.5"
"1918","Indians","73","54","13","196","129","1161.0","447","2.82","2.66","0.07",".275","70.5 %","","","2.64","2.63","","16.5"
"1918","Giants","71","53","10","195","124","1111.2","415","2.67","1.85","0.16",".252","68.4 %","","","2.64","2.55","","10.9"
