Year,Team,off_G,off_PA,off_HR,off_R,off_RBI,off_SB,off_BB%,off_K%,off_ISO,off_BABIP,off_AVG,off_OBP,off_SLG,off_wOBA,off_wRC+,off_BsR,off_Off,off_Def,off_WAR,pit_W,pit_L,pit_SV,pit_G,pit_GS,pit_IP,pit_R,pit_K/9,pit_BB/9,pit_HR/9,pit_BABIP,pit_LOB%,pit_GB%,pit_HR/FB,pit_ERA,pit_FIP,pit_xFIP,pit_WAR,def_Inn,def_rSB,def_rGDP,def_rARM,def_rGFP,def_rPM,def_DRS,def_BIZ,def_Plays,def_RZR,def_OOZ,def_CPP,def_RPP,def_TZL,def_FSR,def_ARM,def_DPR,def_RngR,def_ErrR,def_UZR,def_UZR/150,def_Def,lgID,teamID,G,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
1927,Yankees,1725,6222,158,976,908,90,0.103,0.098,0.181,0.324,0.307,0.384,0.488,0.4,126,-14.2,203.7,76.2,49.3,110,44,20,264,155,1389.2,599,2.79,2.65,0.27,0.275,0.695,,,3.2,3.72,,17.0,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,155,110,44,,,Y,Y,False
1976,Reds,2135,6538,141,857,802,210,0.104,0.138,0.144,0.309,0.28,0.357,0.424,0.357,120,19.0,166.6,39.2,45.9,102,60,45,436,162,1471.0,633,4.83,3.0,0.61,0.279,0.727,,,3.51,3.49,,14.6,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,162,102,60,Y,,Y,Y,True
1931,Yankees,1751,6473,155,1067,990,139,0.116,0.086,0.16,0.309,0.297,0.383,0.457,0.387,124,-3.4,206.4,18.8,45.0,94,59,17,287,155,1410.1,760,4.38,3.47,0.43,0.286,0.656,,,4.21,3.97,,14.3,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,155,94,59,,,N,N,False
1939,Yankees,1550,6129,166,967,904,72,0.114,0.089,0.164,0.295,0.287,0.374,0.451,0.38,113,-4.6,104.6,129.7,44.7,106,45,26,245,152,1348.2,556,3.77,3.78,0.57,0.252,0.738,,,3.31,4.24,,14.6,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,152,106,45,,,Y,Y,False
1969,Orioles,1981,6328,175,779,722,82,0.1,0.127,0.148,0.281,0.265,0.343,0.414,0.341,112,1.7,86.9,150.9,44.6,109,53,36,397,162,1473.2,517,5.48,3.04,0.71,0.243,0.772,,,2.83,3.38,,20.5,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,109,53,Y,,Y,N,True
2001,Mariners,2043,6474,169,927,881,174,0.095,0.153,0.157,0.32,0.288,0.36,0.445,0.347,116,16.2,143.0,84.6,44.4,116,46,56,553,162,1465.0,627,6.46,2.86,0.98,0.26,0.748,,,3.54,4.12,,18.9,,,,,,,,,,,,,,,,,,,,,,,AL,Mariners,162,116,46,Y,N,N,N,True
1975,Reds,2148,6419,124,840,779,168,0.108,0.143,0.13,0.303,0.271,0.353,0.401,0.345,111,20.8,103.6,99.1,43.2,108,54,50,439,162,1459.0,586,4.09,3.0,0.69,0.269,0.759,,,3.37,3.74,,11.9,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,162,108,54,Y,,Y,Y,True
1948,Indians,1889,6197,155,840,801,54,0.104,0.092,0.15,0.292,0.282,0.361,0.432,0.369,114,-10.4,98.7,112.8,42.1,97,58,30,352,156,1409.1,567,3.79,3.99,0.52,0.252,0.745,,,3.22,3.94,,13.7,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,156,97,58,,,Y,Y,False
1973,Orioles,1707,6335,119,754,692,146,0.102,0.119,0.123,0.287,0.266,0.345,0.389,0.334,111,7.3,85.1,98.2,41.2,97,65,26,302,162,1461.2,561,4.4,2.92,0.76,0.252,0.761,,,3.08,3.71,,14.1,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,97,65,Y,,N,N,True
1953,Dodgers,1891,6136,208,955,887,90,0.107,0.111,0.189,0.295,0.285,0.366,0.474,0.379,115,3.9,127.6,80.8,40.5,105,49,29,367,155,1380.2,689,5.33,3.32,1.1,0.268,0.722,,,4.1,4.14,,15.0,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,155,105,49,,,Y,N,False
1936,Yankees,1650,6391,182,1065,997,77,0.11,0.093,0.184,0.31,0.3,0.381,0.483,0.394,113,-6.2,124.6,68.7,40.4,102,51,21,274,155,1400.1,731,4.01,4.26,0.54,0.289,0.698,,,4.17,4.6,,13.4,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,155,102,51,,,Y,Y,False
1942,Yankees,1591,6004,108,801,744,69,0.098,0.093,0.125,0.285,0.27,0.346,0.394,0.353,109,-1.7,63.6,104.3,39.5,103,51,17,243,154,1375.0,507,3.65,2.82,0.46,0.259,0.747,,,2.91,3.25,,17.3,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,103,51,,,Y,N,False
1971,Orioles,1829,6143,158,742,702,66,0.109,0.137,0.138,0.282,0.261,0.347,0.398,0.339,112,0.5,80.3,92.9,39.3,101,57,22,335,158,1415.1,530,5.04,2.65,0.79,0.255,0.766,,,3.0,3.4,,17.3,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,158,101,57,Y,,Y,N,True
1974,Reds,2163,6373,135,776,714,146,0.109,0.147,0.135,0.289,0.26,0.343,0.394,0.336,108,11.8,71.5,90.2,38.6,98,64,27,419,163,1466.1,631,5.37,3.29,0.77,0.267,0.739,,,3.42,3.63,,16.4,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,163,98,64,N,,N,N,False
1930,Yankees,1796,6272,152,1062,986,91,0.103,0.091,0.179,0.324,0.309,0.384,0.488,0.388,124,-11.9,204.3,-1.1,38.6,86,68,15,304,154,1367.2,886,3.76,3.45,0.61,0.298,0.62,,,4.88,4.76,,8.6,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,86,68,,,N,N,False
1977,Phillies,2164,6291,186,847,795,135,0.091,0.128,0.169,0.294,0.279,0.347,0.448,0.347,110,4.1,77.6,95.8,38.5,101,61,47,408,162,1455.2,668,5.29,2.98,0.83,0.284,0.729,,,3.71,3.8,,17.5,,,,,,,,,,,,,,,,,,,,,,,NL,Phillies,162,101,61,Y,,N,N,True
1932,Yankees,1709,6343,160,1001,954,77,0.12,0.083,0.169,0.293,0.286,0.376,0.454,0.377,119,-14.9,150.4,20.0,38.4,107,47,15,249,156,1408.0,724,4.99,3.59,0.59,0.284,0.683,,,3.98,4.01,,15.2,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,156,107,47,,,Y,Y,False
1976,Yankees,1705,6156,120,730,681,163,0.076,0.1,0.119,0.283,0.269,0.328,0.389,0.33,112,6.9,87.2,80.0,38.2,97,62,37,314,159,1455.0,575,4.17,2.77,0.6,0.254,0.73,,,3.19,3.53,,15.0,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,159,97,62,Y,,Y,N,True
1955,Yankees,1948,5932,175,760,716,55,0.102,0.11,0.158,0.267,0.26,0.341,0.418,0.34,108,5.9,60.7,103.2,37.8,96,58,33,344,154,1372.1,569,4.8,4.51,0.71,0.247,0.759,,,3.23,3.9,,9.9,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,96,58,,,Y,N,False
1962,Giants,2010,6277,204,878,807,73,0.083,0.131,0.163,0.292,0.278,0.341,0.441,0.346,111,-4.9,85.0,70.9,37.8,103,62,39,381,165,1461.2,690,5.46,3.1,0.91,0.27,0.719,,,3.79,3.81,,13.0,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,165,103,62,,,Y,N,False
1952,Yankees,1778,5987,129,727,669,52,0.094,0.109,0.136,0.284,0.266,0.341,0.402,0.347,111,-0.1,74.3,94.1,37.7,95,59,27,297,154,1381.0,557,4.34,3.79,0.61,0.259,0.753,,,3.14,3.65,,10.6,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,95,59,,,Y,Y,False
1998,Braves,1971,6217,215,826,794,98,0.088,0.171,0.181,0.3,0.272,0.342,0.453,0.346,108,0.8,61.7,124.6,37.6,106,56,45,516,162,1438.2,581,7.71,2.92,0.73,0.285,0.744,,,3.25,3.53,,27.0,,,,,,,,,,,,,,,,,,,,,,,NL,Braves,162,106,56,Y,N,N,N,True
